"v1013","mes_nome","sexo","raca","faixa_etaria","escolaridade","faixa_renda","n_amostra","populacao_estimada"
"10","Outubro","Feminino","Amarela","18-29","Medio incompleto","Ate 1 SM","4","3055.0"
"10","Outubro","Masculino","Indigena","40-49","Superior completo","Sem informacao","1","305.0"
"10","Outubro","Feminino","Amarela","40-49","Pos-graduacao","Acima 4 SM","8","6252.0"
"9","Setembro","Masculino","Indigena","60+","Superior completo","Sem informacao","4","1202.0"
"9","Setembro","Feminino","Preta","18-29","Superior completo","Acima 4 SM","10","6696.0"
"9","Setembro","Masculino","Preta","40-49","Medio incompleto","Acima 4 SM","6","3460.0"
"9","Setembro","Feminino","Indigena","18-29","Medio completo","Sem informacao","45","16349.0"
"10","Outubro","Feminino","Indigena","50-59","Pos-graduacao","Ate 1 SM","1","145.0"
"10","Outubro","Masculino","Indigena","50-59","Medio completo","2 a 4 SM","3","1988.0"
"9","Setembro","Masculino","Amarela","30-39","Fundamental incompleto","2 a 4 SM","2","855.0"
"9","Setembro","Masculino","Preta","60+","Fundamental completo","1 a 2 SM","30","15525.0"
"9","Setembro","Masculino","Preta","40-49","Fundamental completo","Acima 4 SM","2","1637.0"
"9","Setembro","Masculino","Amarela","30-39","Superior incompleto","1 a 2 SM","2","2293.0"
"9","Setembro","Masculino","Indigena","40-49","Superior completo","2 a 4 SM","2","828.0"
"9","Setembro","Feminino","Parda","60+","Sem instrucao","2 a 4 SM","1","656.0"
"9","Setembro","Masculino","Amarela","50-59","Superior completo","2 a 4 SM","8","4685.0"
"9","Setembro","Feminino","Amarela","40-49","Pos-graduacao","2 a 4 SM","2","284.0"
"9","Setembro","Feminino","Branca","0-17","Medio incompleto","2 a 4 SM","1","356.0"
"9","Setembro","Masculino","Preta","50-59","Sem instrucao","1 a 2 SM","15","6624.0"
"9","Setembro","Masculino","Amarela","60+","Sem instrucao","1 a 2 SM","2","552.0"
"9","Setembro","Feminino","Parda","0-17","Superior incompleto","Ate 1 SM","3","848.0"
"9","Setembro","Feminino","Branca","30-39","Fundamental completo","2 a 4 SM","20","13132.0"
