"v1013","mes_nome","faixa_etaria","raca","comorbidade_codigo","comorbidade","n_amostra","qtd_respostas_sim","pop_estimada_com_comorbidade","pct_com_comorbidade"
"11","Novembro","50-59","Branca","B0105","Depressao","22273","1469","719049.0","6.4378"
"11","Novembro","30-39","Indigena","B0105","Depressao","245","5","1983.0","1.5783"
"11","Novembro","60+","Amarela","B0105","Depressao","501","24","14460.0","4.21"
"11","Novembro","40-49","Branca","B0105","Depressao","22198","1112","627541.0","4.9129"
"11","Novembro","50-59","Parda","B0105","Depressao","23149","1025","473349.0","4.6332"
"11","Novembro","0-17","Indigena","B0105","Depressao","392","1","78.0","0.0501"
"11","Novembro","30-39","Preta","B0105","Depressao","5222","134","83924.0","2.504"
"11","Novembro","0-17","Branca","B0105","Depressao","35662","137","85160.0","0.3681"
"11","Novembro","18-29","Branca","B0105","Depressao","23685","575","400694.0","2.4807"
"11","Novembro","40-49","Amarela","B0105","Depressao","351","12","6083.0","2.6502"
"11","Novembro","18-29","Amarela","B0105","Depressao","377","9","5646.0","2.1211"
"11","Novembro","50-59","Amarela","B0105","Depressao","234","8","5179.0","3.8662"
"11","Novembro","50-59","Preta","B0105","Depressao","4519","174","93999.0","4.0888"
"11","Novembro","50-59","Indigena","B0105","Depressao","185","10","3448.0","5.2074"
"11","Novembro","60+","Parda","B0105","Depressao","28064","1149","492637.0","4.2009"
"11","Novembro","30-39","Parda","B0105","Depressao","28038","701","415195.0","2.6039"
"11","Novembro","0-17","Preta","B0105","Depressao","5521","19","11510.0","0.3311"
"11","Novembro","40-49","Parda","B0105","Depressao","26905","946","497126.0","3.7479"
"11","Novembro","60+","Preta","B0105","Depressao","5352","189","100701.0","4.0201"
"11","Novembro","60+","Indigena","B0105","Depressao","212","11","4880.0","6.1729"
"11","Novembro","40-49","Preta","B0105","Depressao","5130","172","95233.0","3.2318"
"11","Novembro","60+","Branca","B0105","Depressao","33453","2210","1073661.0","6.7894"
"11","Novembro","18-29","Preta","B0105","Depressao","5660","106","79008.0","2.0398"
"11","Novembro","40-49","Indigena","B0105","Depressao","202","7","2087.0","2.4001"
"11","Novembro","18-29","Indigena","B0105","Depressao","252","5","1664.0","1.5131"
"11","Novembro","0-17","Amarela","B0105","Depressao","395","2","657.0","0.2427"
"11","Novembro","30-39","Amarela","B0105","Depressao","382","9","8552.0","2.9632"
"11","Novembro","30-39","Branca","B0105","Depressao","21985","794","506101.0","3.5319"
"9","Setembro","18-29",,"B0105","Depressao","10","0","0.0","0.0"
"9","Setembro","0-17",,"B0105","Depressao","27","0","0.0","0.0"
"9","Setembro","40-49",,"B0105","Depressao","12","0","0.0","0.0"
"11","Novembro","30-39",,"B0105","Depressao","13","0","0.0","0.0"
"11","Novembro","40-49",,"B0105","Depressao","24","0","0.0","0.0"
"11","Novembro","18-29",,"B0105","Depressao","19","1","568.0","4.4841"
"11","Novembro","0-17",,"B0105","Depressao","29","0","0.0","0.0"
"9","Setembro","30-39",,"B0105","Depressao","11","0","0.0","0.0"
"11","Novembro","50-59",,"B0105","Depressao","6","0","0.0","0.0"
"11","Novembro","60+",,"B0105","Depressao","5","0","0.0","0.0"
"10","Outubro","0-17","Amarela","B0104","Doenca do coracao","381","0","0.0","0.0"
"11","Novembro","18-29","Parda","B0103","Asma ou bronquite","33109","1530","991891.0","5.023"
"11","Novembro","0-17","Parda","B0103","Asma ou bronquite","47689","2488","1551121.0","5.9123"
"10","Outubro","0-17","Amarela","B0103","Asma ou bronquite","381","23","13717.0","5.3394"
"10","Outubro","40-49","Indigena","B0104","Doenca do coracao","198","1","249.0","0.2943"
"9","Setembro","60+","Indigena","B0104","Doenca do coracao","214","22","8736.0","10.5245"
"10","Outubro","18-29",,"B0104","Doenca do coracao","13","0","0.0","0.0"
"10","Outubro","60+","Branca","B0104","Doenca do coracao","33246","3752","1832588.0","11.632"
"10","Outubro","40-49",,"B0104","Doenca do coracao","14","0","0.0","0.0"
"9","Setembro","0-17","Preta","B0104","Doenca do coracao","5700","22","11541.0","0.3264"
"10","Outubro","40-49","Indigena","B0103","Asma ou bronquite","198","9","3405.0","4.0262"
"10","Outubro","60+","Branca","B0103","Asma ou bronquite","33246","1945","941845.0","5.9784"
"11","Novembro","50-59","Branca","B0103","Asma ou bronquite","22273","1088","578938.0","5.1834"
"11","Novembro","60+","Amarela","B0103","Asma ou bronquite","501","25","12593.0","3.6663"
"11","Novembro","30-39","Indigena","B0103","Asma ou bronquite","245","14","10306.0","8.2013"
"10","Outubro","50-59","Parda","B0103","Asma ou bronquite","23044","880","395435.0","3.8669"
"10","Outubro","0-17","Parda","B0103","Asma ou bronquite","47618","2475","1533758.0","5.8403"
"10","Outubro","60+","Indigena","B0103","Asma ou bronquite","212","9","3245.0","4.044"
"10","Outubro","0-17","Indigena","B0103","Asma ou bronquite","397","13","5190.0","3.5937"
