"v1013","mes_nome","faixa_etaria","raca","faixa_renda","plano_saude","n_amostra","populacao_estimada","pct_diabetes","pct_hipertensao","pct_asma","pct_doenca_coracao","pct_depressao","pct_cancer","pct_alguma_comorbidade","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"9","Setembro","60+","Preta","Acima 4 SM","Sim","42","23126.0","21.1986","62.3912","2.9716","3.6509","0.0","0.0","71.7095",,
"9","Setembro","60+","Amarela","Ate 1 SM","Nao","15","7721.0","9.7531","40.6389","0.0","0.0","6.6243","4.3337","40.6389",,
"9","Setembro","18-29","Preta","Sem informacao",,"14","18318.0",,,,,,,,,
"9","Setembro","30-39","Indigena","Acima 4 SM","Nao","5","2999.0","22.8673","0.0","0.0","0.0","0.0","0.0","22.8673",,
"9","Setembro","50-59","Indigena","1 a 2 SM","Nao","27","10438.0","2.1715","28.0158","2.269","0.0","0.0","0.0","28.0158",,
"9","Setembro","60+","Indigena","Ate 1 SM","Sim","4","3130.0","8.778","0.0","10.5277","0.0","43.0443","0.0","62.3499",,
"9","Setembro","30-39","Amarela","Ate 1 SM","Nao","62","39244.0","1.7983","2.2874","0.0","0.0","0.0","0.0","4.0857",,
"10","Outubro","40-49","Parda","Sem informacao","Nao","9588","4351996.0","5.8874","16.3465","4.3483","2.8571","5.166","0.7755","26.8369","12.8938","87.1826"
"10","Outubro","40-49","Parda","Acima 4 SM","Nao","412","196152.0","3.5814","18.4434","4.1532","0.4463","0.9511","0.3537","23.5552","0.0",
"10","Outubro","0-17","Parda","Ate 1 SM","Nao","522","287451.0","0.1818","0.3338","5.3819","0.0","0.3681","0.1232","6.3888","0.0",
"10","Outubro","50-59","Parda","2 a 4 SM","Nao","1094","506272.0","9.5552","26.2497","2.5385","3.0799","3.2455","0.7102","35.1592","59.7071","39.176"
"10","Outubro","40-49","Preta","1 a 2 SM","Nao","988","599032.0","4.8342","16.4484","4.4514","0.7146","2.2421","0.398","24.3714","0.0",
"10","Outubro","40-49","Indigena","Sem informacao","Nao","66","25749.0","3.1766","15.3173","8.4037","0.0","4.8949","0.0","26.4236",,
"10","Outubro","18-29","Branca","Acima 4 SM","Nao","166","96355.0","2.2247","1.0553","6.0039","1.0553","1.4485","0.0","10.7324",,
"10","Outubro","18-29","Amarela","Ate 1 SM","Nao","46","24374.0","0.0","0.0","0.7821","0.0","2.2369","0.0","3.019",,
"10","Outubro","30-39","Branca","Sem informacao","Nao","5139","2956747.0","2.3493","6.2565","5.6153","0.7794","5.1468","0.5072","16.3842","10.6099","0.0"
"10","Outubro","50-59","Parda","Ate 1 SM","Sim","441","204499.0","11.6402","29.0351","4.9491","3.7457","5.4126","1.7243","38.7186","0.0",
"10","Outubro","30-39","Branca","Ate 1 SM","Nao","2644","1435823.0","1.215","4.8236","3.6536","0.7875","2.5854","0.297","11.8872","16.8903","100.0"
"10","Outubro","50-59","Indigena","Sem informacao","Nao","83","24830.0","10.5795","21.3415","2.2749","8.7628","7.8954","0.0","32.423",,
"10","Outubro","30-39","Amarela","Acima 4 SM","Nao","8","9749.0","0.0","2.8413","0.0","2.8413","0.0","0.0","2.8413",,
"10","Outubro","18-29","Preta","2 a 4 SM","Sim","86","76369.0","0.0","4.6652","12.7606","0.0","0.4939","0.36","13.6145","0.0",
"10","Outubro","50-59","Parda","2 a 4 SM","Sim","709","387709.0","11.1797","26.1337","4.1418","1.8653","4.3397","2.068","37.7647","42.8104","0.0"
"10","Outubro","30-39","Preta","1 a 2 SM","Nao","1056","722906.0","1.0176","5.4269","3.9252","0.8633","1.3942","0.1161","11.0039","0.0",
"10","Outubro","40-49","Branca","1 a 2 SM","Nao","4036","2297103.0","3.8446","14.08","3.848","1.4293","3.1444","0.6268","21.8774","0.0",
"10","Outubro","50-59","Branca","Sem informacao","Sim","2361","1294221.0","10.8809","26.3757","6.5725","5.2182","9.9143","2.795","43.0115","12.4253","100.0"
"10","Outubro","30-39","Branca","Acima 4 SM","Sim","1944","1625337.0","1.2018","4.3909","6.1241","1.5471","3.2785","0.4791","14.6915","0.0",
"10","Outubro","18-29","Preta","Ate 1 SM","Sim","163","141098.0","2.9927","4.323","7.8874","0.9346","1.829","0.0","14.561","0.0",
"10","Outubro","18-29","Parda","Sem informacao","Sim","1727","1157400.0","0.5687","1.1738","8.7674","0.7851","2.468","0.3035","13.071","0.0",
"10","Outubro","60+","Branca","Sem informacao","Sim","9318","4981849.0","21.2221","47.5355","6.3875","14.1167","7.9022","6.8286","63.8975","30.6025","14.1759"
"10","Outubro","40-49","Branca","2 a 4 SM","Nao","1861","1052496.0","3.618","12.6481","2.9423","1.1781","3.8763","0.6728","19.5384","0.0",
"10","Outubro","30-39","Branca","1 a 2 SM","Sim","1892","1460171.0","1.6661","5.4445","5.4589","1.1129","3.0399","0.6121","14.8048","0.0",
"10","Outubro","40-49","Branca","2 a 4 SM","Sim","1895","1289159.0","3.355","13.4277","4.2139","1.346","4.0007","1.1684","22.7665","3.199","0.0"
"10","Outubro","40-49","Preta","2 a 4 SM","Nao","323","189780.0","4.5279","17.0007","7.0858","2.2074","1.026","0.4157","26.5108","0.0",
"10","Outubro","30-39","Amarela","Sem informacao","Sim","23","20174.0","0.0","2.4923","7.4614","0.0","9.6369","0.0","19.5906",,
"10","Outubro","18-29","Preta","2 a 4 SM","Nao","124","79365.0","0.4486","2.9539","4.4544","1.0417","1.1283","0.0","8.1958","0.0",
"10","Outubro","18-29","Amarela","1 a 2 SM","Sim","23","22124.0","0.0","4.8679","0.0","0.0","5.6937","0.0","10.5616",,
"10","Outubro","30-39","Parda","Ate 1 SM","Sim","584","373632.0","0.827","6.2609","3.9401","0.8731","2.0472","0.6295","14.0335","57.1108","100.0"
"10","Outubro","18-29","Branca","Ate 1 SM","Sim","805","595635.0","1.4622","0.7651","9.0383","0.4549","3.3188","0.7743","14.3648","0.0",
"10","Outubro","18-29","Parda","Acima 4 SM","Nao","97","59228.0","0.0","1.9707","1.4869","0.0","7.145","0.0","10.6026","0.0",
"10","Outubro","30-39","Preta","Ate 1 SM","Sim","113","76992.0","2.4778","3.4686","7.0065","0.0","1.6734","0.411","14.544",,
"10","Outubro","50-59","Preta","2 a 4 SM","Sim","146","101999.0","15.0353","38.4853","4.9316","5.8764","1.4913","0.9618","44.3046",,
"10","Outubro","40-49","Parda","Sem informacao",,"30","15641.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"10","Outubro","0-17","Preta","1 a 2 SM","Nao","7","2688.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"10","Outubro","18-29","Amarela","2 a 4 SM","Nao","19","13487.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"10","Outubro","0-17","Parda","Sem informacao","Nao","40538","2.1518952E7","0.1757","0.118","5.3874","0.3532","0.2572","0.0929","6.1833","7.5794","21.5881"
"10","Outubro","40-49","Preta","Acima 4 SM","Sim","184","129797.0","5.4108","20.5023","7.0661","0.7027","2.5336","0.8705","29.3481","0.0",
"10","Outubro","18-29","Parda","1 a 2 SM","Sim","1209","958462.0","0.2102","1.7245","5.5181","0.6377","1.9314","0.2321","9.684","0.0",
"10","Outubro","30-39","Branca","Sem informacao",,"24","16110.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"10","Outubro","60+","Indigena","Sem informacao","Sim","21","8476.0","20.4887","29.6066","17.4941","19.7806","8.0177","5.0611","40.2296",,
"10","Outubro","50-59","Amarela","Acima 4 SM","Nao","10","5600.0","20.8148","7.2545","0.0","0.0","0.0","0.0","28.0693",,
"9","Setembro","50-59","Preta","Sem informacao",,"8","4287.0",,,,,,,,,
"9","Setembro","40-49","Branca","Acima 4 SM",,"2","1041.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"10","Outubro","50-59","Preta","Ate 1 SM","Nao","836","417207.0","10.9103","30.1133","5.557","3.6023","2.9282","0.1701","38.9541","0.0",
"10","Outubro","60+","Preta","Ate 1 SM","Nao","352","152521.0","12.5761","43.3616","3.2048","5.5408","3.1321","1.9607","48.5273","0.0",
"10","Outubro","30-39","Parda","2 a 4 SM","Nao","1606","975724.0","0.848","5.2276","4.3029","0.4554","1.772","0.2734","11.272","0.0",
"10","Outubro","0-17","Preta","Sem informacao","Sim","899","696865.0","0.0786","0.1045","11.9521","1.1445","0.5651","0.0","13.7202","0.0",
"10","Outubro","18-29","Branca","1 a 2 SM","Sim","1726","1483395.0","0.5697","0.9446","7.4017","0.6582","2.224","0.0595","11.0852","0.0",
"10","Outubro","30-39","Amarela","Ate 1 SM","Nao","66","42133.0","1.6447","2.1047","0.0","0.0","0.8694","0.0","4.6189",,
"9","Setembro","30-39","Indigena","Sem informacao","Sim","3","2862.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"10","Outubro","40-49","Indigena","Acima 4 SM","Nao","5","2620.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"10","Outubro","18-29","Branca","2 a 4 SM","Nao","922","596705.0","0.0941","1.1621","6.2506","0.2116","2.3683","0.2705","9.1779","0.0",
"10","Outubro","40-49","Indigena","2 a 4 SM","Sim","6","2178.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"9","Setembro","40-49","Parda","Acima 4 SM",,"1","633.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"10","Outubro","40-49","Parda","Ate 1 SM","Nao","5701","2645029.0","4.984","15.0528","3.9475","1.4388","2.8371","0.3233","22.9176","14.5","64.1816"
"10","Outubro","60+","Parda","Ate 1 SM","Nao","1656","678039.0","12.9075","37.0653","4.0038","4.7599","2.4775","2.1752","46.1928","15.303","0.0"
"10","Outubro","0-17","Branca","Ate 1 SM","Nao","358","194874.0","0.1764","0.2885","4.8568","0.5201","2.4354","0.0","8.0224",,
"10","Outubro","18-29","Amarela","1 a 2 SM","Nao","50","41183.0","0.0","0.0","0.3276","0.0","0.0","0.0","0.3276",,
"10","Outubro","30-39","Amarela","1 a 2 SM","Sim","33","33702.0","0.7227","0.7227","7.8766","4.2222","0.0","0.0","12.8215",,
"10","Outubro","60+","Preta","2 a 4 SM","Nao","60","24525.0","16.6737","45.8516","5.0494","3.5277","2.1566","0.805","55.0104",,
"11","Novembro","60+","Parda","2 a 4 SM","Nao","368","153027.0","11.5346","38.8223","5.2354","5.829","2.6946","1.655","50.1887","0.0",
"11","Novembro","60+","Parda","1 a 2 SM","Sim","283","140016.0","17.3051","46.6561","2.2135","5.4758","5.161","3.0298","53.7581",,
"11","Novembro","60+","Indigena","Sem informacao",,"1","372.0",,,,,,,,,
"11","Novembro","30-39","Preta","Sem informacao","Sim","154","107690.0","1.6287","6.81","1.8826","0.2877","7.5704","0.9848","17.0445","0.0",
"11","Novembro","40-49",,"Sem informacao","Sim","3","1930.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"11","Novembro","30-39","Parda","2 a 4 SM","Sim","1136","842588.0","2.1635","5.2973","6.2607","0.6571","2.4708","0.6838","15.7511","8.3843","100.0"
"11","Novembro","30-39","Parda","Sem informacao","Sim","871","560588.0","3.7016","8.1984","6.7777","1.3515","4.6302","0.688","21.1109","0.0",
"11","Novembro","40-49",,"Ate 1 SM","Nao","5","1911.0","0.0","28.8855","0.0","0.0","0.0","0.0","28.8855",,
"11","Novembro","50-59","Parda","Acima 4 SM","Nao","319","148517.0","6.0566","19.3257","4.7","3.6667","3.3277","0.1209","28.8345","0.0",
"9","Setembro","40-49",,"2 a 4 SM","Nao","1","564.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"11","Novembro","18-29","Parda","Sem informacao","Nao","16982","9393523.0","0.497","1.553","4.3786","0.5017","1.7999","0.1914","7.9625","8.6153","37.0489"
"11","Novembro","60+","Parda","1 a 2 SM","Nao","1034","444468.0","12.9799","35.143","3.4705","5.0797","2.2813","0.8586","44.231","0.0",
"11","Novembro","30-39","Preta","Ate 1 SM","Nao","1095","644032.0","1.8743","7.9981","3.365","2.0829","2.7134","0.0797","15.1472","0.0",
"11","Novembro","30-39","Amarela","Sem informacao","Nao","85","52254.0","0.7467","6.9627","6.0","1.1124","0.7649","0.7649","14.075","0.0",
"11","Novembro","30-39","Branca","Acima 4 SM","Sim","1928","1580066.0","1.4434","5.329","5.8071","1.3605","3.4043","0.4769","15.7893","0.6167","0.0"
"11","Novembro","0-17","Amarela","Sem informacao","Nao","281","171044.0","0.0","0.0","5.493","0.0","0.3841","0.0","5.5922","0.0",
