"v1013","mes_nome","categoria_ocupacional","formalidade_trabalho","grau_isolamento","n_amostra","populacao_estimada","pct_trabalhou","pct_home_office","pct_internado_entre_atendidos"
"9","Setembro","Militar","Nao aplicavel/Sem informacao","Ficou em casa","67","36465.0","82.764","100.0","0.0"
"9","Setembro","Setor publico","Informal","So saiu por saude","120","53111.0","56.9142","100.0","0.0"
"11","Novembro","Setor publico","Formal",,"31","14990.0","80.264","87.8191",
"9","Setembro","Empregador","Nao aplicavel/Sem informacao","Ficou em casa","568","335454.0","92.0147","99.0427","0.0"
"9","Setembro","Fora do mercado","Nao aplicavel/Sem informacao","So saiu por saude","626","205139.0","97.0452",,"0.0"
"9","Setembro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Ficou em casa","67","32343.0","70.8552","39.6387","0.0"
"9","Setembro","Setor publico","Informal","Pouca restricao","2906","1408078.0","94.9259","86.024","6.5553"
"9","Setembro","Setor privado","Formal","Ficou em casa","7532","5042925.0","77.7506","95.7908","6.9612"
"9","Setembro","Familiar nao remunerado","Nao aplicavel/Sem informacao","So saiu por saude","220","67547.0","89.8976","29.2179","0.0"
"9","Setembro","Setor privado","Informal","Ficou em casa","2626","1439459.0","85.2971","81.8982","0.0"
"9","Setembro","Setor publico","Formal","Pouca restricao","11126","5816930.0","93.8431","90.4729","5.8412"
"9","Setembro","Domestico","Informal","Pouca restricao","3693","1993265.0","97.4789",,"0.0"
"9","Setembro","Empregador","Nao aplicavel/Sem informacao","So saiu por saude","94","62517.0","62.2396","95.2325","22.9063"
"9","Setembro","Setor privado","Formal","Pouca restricao","37712","2.4562531E7","97.4663","72.7136","2.3886"
"9","Setembro","Domestico","Informal","Ficou em casa","1191","588708.0","81.9701",,"0.0"
"9","Setembro","Setor publico","Formal","Sem restricao","492","253798.0","89.959","82.569","0.0"
"9","Setembro","Fora do mercado","Nao aplicavel/Sem informacao","Sem restricao","140","56517.0","97.2018",,
"9","Setembro","Setor publico","Informal","Ficou em casa","1188","557493.0","71.7288","96.1527","0.0"
"9","Setembro","Fora do mercado","Nao aplicavel/Sem informacao","Ficou em casa","2453","931519.0","96.6745",,"0.0"
"9","Setembro","Fora do mercado","Nao aplicavel/Sem informacao","Pouca restricao","1977","718470.0","98.3318",,
"9","Setembro","Setor privado","Informal","So saiu por saude","351","192991.0","72.417","91.0036","26.668"
"9","Setembro","Militar","Nao aplicavel/Sem informacao","Pouca restricao","462","263702.0","96.6536","80.3176","0.0"
"9","Setembro","Setor publico","Formal","Ficou em casa","5435","2789957.0","71.6533","98.6558","5.7714"
"9","Setembro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Sem restricao","52","40629.0","96.4061","42.0662",
"9","Setembro","Domestico","Informal","Sem restricao","184","102932.0","97.5532",,"0.0"
"9","Setembro","Setor publico","Informal","Sem restricao","157","73816.0","91.7235","68.504",
"9","Setembro","Domestico","Formal","Sem restricao","68","47720.0","82.2058",,
"9","Setembro",,"Nao aplicavel/Sem informacao","Ficou em casa","127932","6.7696616E7","0.0",,"9.5924"
"9","Setembro",,"Nao aplicavel/Sem informacao",,"1470","813487.0","0.0",,"65.103"
"9","Setembro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Pouca restricao","557","323142.0","97.4473","38.1337","0.0"
"9","Setembro","Empregador","Nao aplicavel/Sem informacao",,"14","15737.0","76.8626","67.6579",
"9","Setembro",,"Nao aplicavel/Sem informacao","So saiu por saude","59237","3.2269713E7","0.0",,"20.1332"
"9","Setembro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Pouca restricao","1878","807617.0","98.8233","23.8766","48.7924"
"9","Setembro","Conta propria","Nao aplicavel/Sem informacao","Ficou em casa","10727","5191183.0","91.0002","68.1223","2.6426"
"9","Setembro","Conta propria","Nao aplicavel/Sem informacao","Pouca restricao","30432","1.6437085E7","98.1793","31.375","5.7323"
"9","Setembro","Setor publico","Formal","So saiu por saude","668","327107.0","56.5095","98.5632","3.7164"
"9","Setembro","Domestico","Formal","So saiu por saude","79","48419.0","59.869",,"37.97"
"11","Novembro","Domestico","Formal",,"3","1341.0","100.0",,
"11","Novembro","Setor publico","Informal",,"10","5219.0","61.7971","100.0",
"11","Novembro","Empregador","Nao aplicavel/Sem informacao",,"20","8697.0","87.2688",,
"11","Novembro","Familiar nao remunerado","Nao aplicavel/Sem informacao",,"11","4823.0","100.0",,
"11","Novembro","Fora do mercado","Nao aplicavel/Sem informacao",,"19","6214.0","96.3975",,
"11","Novembro","Domestico","Informal",,"8","2861.0","82.8442",,
"9","Setembro","Domestico","Informal",,"10","3097.0","67.0032",,
"9","Setembro","Fora do mercado","Nao aplicavel/Sem informacao",,"15","14142.0","100.0",,
"9","Setembro","Militar","Nao aplicavel/Sem informacao",,"5","1614.0","100.0","0.0",
"10","Outubro","Militar","Nao aplicavel/Sem informacao","So saiu por saude","10","5575.0","40.5612","57.9632","0.0"
"10","Outubro","Militar","Nao aplicavel/Sem informacao",,"2","841.0","100.0",,
"10","Outubro","Empregador","Nao aplicavel/Sem informacao","So saiu por saude","90","50083.0","74.203","100.0","50.4248"
"10","Outubro","Domestico","Informal",,"13","9661.0","85.8351",,
"10","Outubro","Policial ou bombeiro","Nao aplicavel/Sem informacao","So saiu por saude","9","5032.0","31.7055",,"0.0"
"9","Setembro","Familiar nao remunerado","Nao aplicavel/Sem informacao",,"12","2833.0","100.0",,
"10","Outubro","Familiar nao remunerado","Nao aplicavel/Sem informacao",,"13","7380.0","100.0","0.0",
"11","Novembro","Militar","Nao aplicavel/Sem informacao",,"1","117.0","100.0",,
"9","Setembro","Domestico","Formal",,"4","4306.0","100.0",,
"11","Novembro","Policial ou bombeiro","Nao aplicavel/Sem informacao",,"1","458.0","100.0",,
"9","Setembro","Policial ou bombeiro","Nao aplicavel/Sem informacao","So saiu por saude","9","2683.0","46.5452","100.0","72.9942"
"9","Setembro","Policial ou bombeiro","Nao aplicavel/Sem informacao",,"1","1420.0","100.0",,
